file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
Five-12.12-1.fastq.gz	FASTQ	DNA	36086	54417626	1424	1508.0	1940	1507.0	1509.0	1509.0	0	1509	56	98.58	96.64	27.69	52.28
Five-12.12-2.fastq.gz	FASTQ	DNA	36104	54446173	491	1508.0	1938	1507.0	1509.0	1509.0	0	1509	55	98.58	96.65	27.70	52.27
Five-12.12-3.fastq.gz	FASTQ	DNA	37385	56379245	936	1508.1	1938	1507.0	1509.0	1509.0	0	1509	56	98.55	96.59	27.62	52.26
Four-12.12-1.fastq.gz	FASTQ	DNA	38045	57300582	1434	1506.1	2511	1507.0	1509.0	1509.0	0	1509	64	98.55	96.56	27.59	52.34
Four-12.12-2.fastq.gz	FASTQ	DNA	37125	55975349	1428	1507.8	1938	1507.0	1509.0	1509.0	0	1509	56	98.53	96.53	27.56	52.25
Four-12.12-3.fastq.gz	FASTQ	DNA	36048	54371168	868	1508.3	1940	1508.0	1509.0	1509.0	0	1509	70	98.55	96.58	27.61	52.24
One-11.9-1.fastq.gz	FASTQ	DNA	38264	57497427	1410	1502.7	4589	1501.0	1502.0	1503.0	0	1502	52	98.46	96.41	27.32	54.43
One-11.9-2.fastq.gz	FASTQ	DNA	38434	57746155	1413	1502.5	1603	1501.0	1502.0	1503.0	0	1502	55	98.46	96.41	27.30	54.41
One-11.9-3.fastq.gz	FASTQ	DNA	36549	54912043	1443	1502.4	1569	1501.0	1502.0	1503.0	0	1502	49	98.47	96.43	27.33	54.41
One-12.12-1.fastq.gz	FASTQ	DNA	37438	56094020	997	1498.3	1831	1500.0	1502.0	1503.0	0	1502	56	98.46	96.41	27.33	54.15
One-12.12-2.fastq.gz	FASTQ	DNA	36306	54389679	1418	1498.1	2142	1499.0	1503.0	1506.0	0	1503	75	98.48	96.43	27.38	53.79
One-12.12-3.fastq.gz	FASTQ	DNA	36726	55240184	70	1504.1	1591	1503.0	1507.0	1509.0	0	1507	55	98.52	96.52	27.49	53.07
Three-11.9-1.fastq.gz	FASTQ	DNA	36581	54675891	670	1494.7	1909	1475.0	1502.0	1507.0	0	1502	77	98.50	96.47	27.44	53.32
Three-11.9-2.fastq.gz	FASTQ	DNA	37629	56259445	842	1495.1	3256	1475.0	1502.0	1506.0	0	1502	69	98.51	96.50	27.46	53.43
Three-11.9-3.fastq.gz	FASTQ	DNA	36265	54333303	1404	1498.2	1939	1498.0	1503.0	1504.0	0	1503	73	98.49	96.45	27.40	53.82
Three-12.12-1.fastq.gz	FASTQ	DNA	37069	55283950	1217	1491.4	6241	1452.0	1505.0	1509.0	0	1505	101	98.47	96.40	27.37	53.50
Three-12.12-2.fastq.gz	FASTQ	DNA	37217	55944672	1424	1503.2	3479	1502.0	1504.0	1509.0	0	1504	51	98.52	96.51	27.48	53.33
Three-12.12-3.fastq.gz	FASTQ	DNA	36417	54626389	1134	1500.0	2032	1501.0	1505.0	1509.0	0	1505	71	98.52	96.51	27.50	53.18
Two-11.9-1.fastq.gz	FASTQ	DNA	37531	57157285	797	1522.9	1936	1508.0	1533.0	1536.0	0	1533	55	98.56	96.58	27.64	51.87
Two-11.9-2.fastq.gz	FASTQ	DNA	38104	58013061	738	1522.5	2600	1508.0	1532.0	1536.0	0	1532	58	98.54	96.55	27.59	51.92
Two-11.9-3.fastq.gz	FASTQ	DNA	36532	55634733	1147	1522.9	2332	1508.0	1533.0	1536.0	0	1533	52	98.55	96.55	27.61	51.90
Two-12.12-1.fastq.gz	FASTQ	DNA	37508	56437065	894	1504.7	1584	1503.0	1507.0	1509.0	0	1507	50	98.50	96.49	27.46	53.10
Two-12.12-2.fastq.gz	FASTQ	DNA	36575	54982987	1438	1503.3	1937	1502.0	1507.0	1509.0	0	1507	56	98.51	96.48	27.46	53.07
Two-12.12-3.fastq.gz	FASTQ	DNA	36444	54163206	1028	1486.2	1957	1474.0	1475.0	1504.0	0	1476	86	98.54	96.54	27.56	53.06
