subtype	Four.12.12_clean	One.11.9_clean	Three.11.9_clean	Two.11.9_clean
aminoglycoside__AAC(3)-IIIc	0.0	0.0	0.05614797049013012	0.0
aminoglycoside__AAC(6')-Ib8	0.0	3.19942074348334	0.0	0.2643656492052362
aminoglycoside__AAC(6')-Ic	0.0	0.10718726433647284	0.0	0.0
aminoglycoside__AAC(6')-Iid	0.0	0.3439415514972535	0.0860729877293753	4.57555931316755
aminoglycoside__AAC(6')-Iih	0.0	1.1117017907684448	0.0	35.91689045554746
aminoglycoside__APH(3'')-Ib	0.0	5.258158302733562	244.8587409695176	0.0
aminoglycoside__APH(3')-Ia	0.0	0.0	0.1156109503080908	0.0
aminoglycoside__APH(6)-Id	0.31666338128408583	2.4231159775429716	182.6625132733194	0.0
aminoglycoside__aadA	0.0	0.2411068362927304	0.059563816603598115	0.0
aminoglycoside__aadA5	0.0	1.3140667673616437	0.0	0.0
aminoglycoside__aadS	0.14343637479766955	0.0	0.0	0.0
aminoglycoside__amrB	0.0	0.0	0.010012965015497798	0.057029981851561024
antibacterial_fatty_acid__farB	0.0	0.0	0.030837172769185645	0.0
bacitracin__bacA	37.85764309485929	881.3780761687276	621.8235947270844	368.46662892587676
bacitracin__bcrA	0.0	0.0	0.3060175189248297	0.0
beta_lactam__ACT-13	0.0	0.04107438475885835	0.0	0.0
beta_lactam__ACT-15	0.0	0.0821487695177167	0.0	0.0
beta_lactam__ACT-16	0.0	0.16440562952164092	0.0	0.0
beta_lactam__ACT-17	0.0	0.20537192379429176	0.0	0.0
beta_lactam__ACT-20	0.0	0.0821487695177167	0.0	0.0
beta_lactam__ACT-25	0.0	0.04107438475885835	0.0	0.0
beta_lactam__ACT-27	0.0	0.0821487695177167	0.0	0.0
beta_lactam__ACT-29	0.0	0.041182475245065873	0.0	0.07806072319052251
beta_lactam__ACT-30	0.0	0.1642975390354334	0.0	0.0
beta_lactam__ACT-31	0.0	0.04107438475885835	0.0	0.0
beta_lactam__CMY-100	0.0	0.0821487695177167	0.0	0.0
beta_lactam__CMY-13	0.0	0.04107438475885835	0.0	0.0
beta_lactam__CMY-26	0.0	0.04107438475885835	0.0	0.0
beta_lactam__CMY-34	0.0	0.04107438475885835	0.0	0.15612144638104503
beta_lactam__CMY-37	0.0	0.04107438475885835	0.0	0.0
beta_lactam__CMY-42	0.0	0.04107438475885835	0.0	0.0
beta_lactam__CMY-59	0.0	0.07652489287591703	0.0	0.0
beta_lactam__CMY-63	0.0	0.04107438475885835	0.0	0.0
beta_lactam__CMY-64	0.0	0.04107438475885835	0.0	0.0
beta_lactam__CMY-73	0.0	0.24644630855315008	0.0	0.0
beta_lactam__CMY-77	0.0	0.04107438475885835	0.0	0.07806072319052251
beta_lactam__CMY-93	0.0	0.04107438475885835	0.0	0.0
beta_lactam__CTX-M-1	0.07073237038991609	0.0	0.0	0.0
beta_lactam__CTX-M-109	0.07146916591481105	0.0	0.0	0.0
beta_lactam__CTX-M-117	0.07073237038991609	0.0	0.0	0.0
beta_lactam__CTX-M-22	0.07073237038991609	0.0	0.0	0.0
beta_lactam__CTX-M-3	0.14146474077983218	0.0	0.0	0.0
beta_lactam__CTX-M-55	0.28292948155966435	0.0	0.0	0.0
beta_lactam__ESP-1	0.0	0.053963243424569075	0.0	0.0
beta_lactam__Escherichia coli ampC	4.667405051315724	493.77373687006656	360.20248813232706	80.21493872759345
beta_lactam__Klebsiella pneumoniae OmpK37	1.5960173094131065	387.25841494484536	108.90304222871762	65.44640252884976
beta_lactam__Laribacter hongkongensis ampC beta-lactamase	0.0	0.0	0.08033478854741694	0.0
beta_lactam__MOX-9	0.0	0.04085989710998703	0.0	0.0
beta_lactam__OKP-B-10	0.0	0.10943594820367156	0.0	0.0
beta_lactam__OKP-B-12	0.0	0.11900639234315612	0.0	0.0
beta_lactam__OKP-B-7	0.0	0.05471797410183578	0.0	0.0
beta_lactam__OXA-178	0.0	0.0	0.05717256849177483	0.0
beta_lactam__OXA-283	0.0	0.056700509395380544	0.0	0.0
beta_lactam__OXA-296	0.0	0.11020662389524671	0.0	0.0
beta_lactam__OXA-373	0.0	0.057114381726733686	0.0	0.0
