#OTU ID	S1.1st	S1.2nd	S1.3rd	S2.1st	S2.2nd	S2.3rd	S3.1st	S3.2nd	S3.3rd	E1.1st	E1.2nd	E1.3rd	E2.1st	E2.2nd	E2.3rd	E3.1st	E3.2nd	E3.3rd	E4.1st	E4.2nd	E4.3rd	E5.1st	E5.2nd	E5.3rd	taxonomy
OTU_3	20197	19694	19681	3063	3381	3229	9602	10929	15647	19556	15054	8437	9253	8518	3729	5229	11817	8359	788	498	137	575	638	591	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Enterobacteriaceae,g:Escherichia-Shigella
OTU_17	3362	3487	3442	10	9	13	60	56	38	2	1	3	2	1	0	4	1	1	0	1	0	0	0	0	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Enterobacteriaceae,g:Klebsiella
OTU_5	168	251	254	67	63	54	8021	7647	4069	3118	3263	1033	890	1627	14283	1278	1630	3305	883	255	108	159	181	200	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae,g:Clostridium_sensu_stricto_1,s:Clostridium_disporicum
OTU_61	119	126	136	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Paenibacillales,f:Paenibacillaceae,g:Paenibacillus
OTU_33	34	55	68	1	9	1	0	0	0	0	0	0	0	0	3	106	0	0	1	3	28	1	7	0	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter
OTU_78	60	55	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus,s:Enterococcus_casseliflavus
OTU_578	1	13	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus
OTU_75	301	450	439	24	20	16	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus
OTU_4382	2	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Enterobacteriaceae
OTU_27	138	212	224	1191	1287	1155	2	0	0	27	6	12	0	1	0	11	2	246	4	1	3	0	1	2	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus
